# x  y  z  value
-0.367552 -0.129251 0 -0.602361
-0.411746 -0.0926396 0 -0.523347
-0.372129 -0.0861675 0 -0.622524
-0.330223 -0.119543 0 -0.714497
-0.292893 -0.109835 0 -0.852032
-0.332511 -0.0796954 0 -0.744707
-0.292893 -0.0732233 0 -0.896164
-0.418611 -0.0463198 0 -0.524987
-0.376705 -0.0430837 0 -0.629906
-0.425476 -2.08167e-17 0 -0.51519
-0.381282 -1.38778e-17 0 -0.623705
-0.334799 -0.0398477 0 -0.760626
-0.292893 -0.0366117 0 -0.924635
-0.337087 -6.93889e-18 0 -0.76043
-0.292893 0 0 -0.934325
-0.995185 0.0980171 0 -0.113395
-0.946329 0.0931662 0 -0.114991
-0.897474 0.0883153 0 -0.119973
-0.980785 0.19509 0 -0.113383
-0.932061 0.18586 0 -0.115013
-0.883336 0.176631 0 -0.120086
-0.851015 0.0837004 0 -0.128161
-0.804555 0.0790854 0 -0.140122
-0.834612 0.167401 0 -0.128964
-0.785887 0.158171 0 -0.14218
-0.95694 0.290285 0 -0.113389
-0.908358 0.276678 0 -0.115076
-0.859776 0.263072 0 -0.120344
-0.92388 0.382683 0 -0.113468
-0.880048 0.366098 0 -0.114923
-0.836215 0.349513 0 -0.119437
-0.813498 0.250164 0 -0.129034
-0.767219 0.237256 0 -0.141768
-0.792383 0.332927 0 -0.127299
-0.748551 0.316342 0 -0.13892
-0.760452 0.0749391 0 -0.155486
-0.716348 0.0707927 0 -0.175401
-0.741874 0.149878 0 -0.158419
-0.697861 0.141585 0 -0.179428
-0.672244 0.0666464 0 -0.200683
-0.628141 0.0625 0 -0.232383
-0.653848 0.133293 0 -0.206098
-0.609835 0.125 0 -0.23957
-0.723297 0.224817 0 -0.158207
-0.679374 0.212378 0 -0.179607
-0.704719 0.299756 0 -0.154867
-0.660887 0.283171 0 -0.175892
-0.635452 0.199939 0 -0.206907
-0.591529 0.1875 0 -0.241318
-0.617055 0.266585 0 -0.202964
-0.573223 0.25 0 -0.237371
-0.881921 0.471397 0 -0.113484
-0.838455 0.450016 0 -0.115037
-0.794988 0.428636 0 -0.119881
-0.83147 0.55557 0 -0.113565
-0.792615 0.531665 0 -0.114941
-0.753761 0.507759 0 -0.11921
-0.753645 0.40839 0 -0.127829
-0.712302 0.388145 0 -0.139429
-0.714907 0.483853 0 -0.126642
-0.676052 0.459948 0 -0.137624
